id	text	label
21009	"My son pointed at a homeless man and said ""Human waste!!"" I was so ashamed and embarrassed I told him its ""waste of a human"". Kids are so dumb."	1
7392	why a particular cm who does not even have a portfolio  who tweets more about movies than administration is questioning court ?	0
17418	white guilt sacrificial lamb	0
13414	jewish supremacists demand more cash for racist ' israel ' . : well  this is not exactly related to our topic here ...	2
5764	40 billion for puerto rico with 45 billion more promises . major populist stuff there .	0
17508	your founder called for america to remain majority-white . your leaders have entered ice and cpb .	0
17794	couldn't agree more ! that is why he is white trash  for speaking like that !	1
14044	action report : america first banner drop on tuesday  december 5  identity evropa activists dropped a massive banner at in atlanta .	1
13994	2/1 / 17 : white house press briefing	0
2218	even of the devil wanted to set up a vigil for george soros  i wouldn't care . death is death . can't we let people mourn without investigating the situation for possible thought crime ? geeze	0
5747	. president argues denying lgbt customers service is a religious liberty | # viceonhbo tonight 11pm	0
12944	"  "" all swans are white "" "" is disproved by "" "" this swan is black "" "" there master logistician """	0
12233	and you sound like a leftist shill who stabs people in the own ranks for no good reason at all .	1
1029	" rt putting the  "" white "" "" back in white house . love it ! """	1
489	if it's white it's right	1
2682	ukrainians welcome waffen-ss troops as soviet atrocities come to light ( video ) | read more :	0
10750	now to get pernicious greedy cancerous whites out	2
9171	what is # romney going to do for white americans ? not for blacks  jews  israel  latinos  asians  queers  etc . # gop	2
8063	reputation is merrily what people think you are whilst character is who you really are !	0
15954	carolyn  if i were to recommend a book to you it would be the epic 2 volume march of the titans : a complete history of the white race !	1
9197	white identity and national socialism are two different things .	0
6410	we wanted to hear milo ! !	1
1028	" rt jews are shape-shifters they can  "" appear "" "" white black asian christian buddhist muslim etc """	2
5298	provides us with another example of why jews should be excluded from white countries # withjewswelose	2
15209	i'm a strasserist which means technically that i'm a leftist . i see capitalism as the enemy of european culture .	1
3528	the biggest hoax out there tho is the one of the white race existing and accomplishing all these things you neanderthals stole from blacks	2
8667	doesnt matter  the j-media will just make up some lie about him and hammer it until all the cucks disavow .	2
12212	again  nobody but nobody would care about any of this but for trump . and they all know it . # gopdebate	0
1330	frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory	1
17093	listen to the trump song on youtube by jeannie jones in 2016 . i predicted he would win and jumpstart the 2nd industrial revolution with unprecedented economic growth ! it is silly though .	0
8822	it is time for the white people to take america back ! we must stop all the black protests immediately !	2
16174	jews destroy women : a response to women destroy nations | traditionalist youth network	2
20694	don't let them in! must b vetted 1st! muslims don't assimilate, want 2 dominate! gotta protect ourslvs! stop o's plan!	1
216	2 hollywood jews want us to feel bad for not importing jihadists whose doctrine has more jew hate than mein kampf	2
19455	lol !!! crooked rats !	1
15746	" rt  "" white women should be hunted & killed "" "" ? ? this is already happening in america - there is a huge amount of black on white violence . """	1
6955	i didn't vote for trump and clinton because they're both bad - and i knew he was gonna flip flop on issues ...	0
18631	but mormons are so white and reproduce like jackrabbits .	1
20903	I don't need someone to explain to me how the Dems are outright traitors. What I need explained to me is how do we get these fuckers hanged.	2
20168	pl. respond to attacks, despondency will not help; simply # deport all muslims	1
17592	" there are indeed some  "" differences "" "" : steve bannon called jared kushner a cuck and globa """	2
20678	i have my trusty spell casting wand. i shall smite all the libtard goblins back to hell from whence they came. kazaam!	1
9255	you completely misunderstood jared and myself stupid jew	2
436	hope he takes them to court . overstepping boundaries .	0
17599	" yes   "" exterminate the jews "" "" like this white kid in kansas """	2
4037	dramatic rise of white flight in britain : masses of white families escape from multiracial areas | via	0
18967	the truth is is that white european men and women built america . not unwanted  unwelcome mexicans or smelly  greasy muslims .	2
11131	" < < we love dead  "" brown-skinned "" "" people ! and we fund white supremacist racist killers with our bffs # alec luv  bffs """	2
6867	ending slavery - whites ; democracy - whites ; women's rights - whites ; innovations in science from electricity to space travel - whites ...	1
3771	" democracy is being governed by a  "" majority "" "" of wealthy jews and their non-white identity group lackeys """	1
460	i liked some of what milo did  although i hated him for plenty of things .	0
7441	"  "" : : one white person started this . so let's blame all white people . "" "" death to the whitezz "" "" """	2
17236	should have on # thisaltrightlife to discuss and the future of the white race . # listens	0
13353	i'm concerned about white cops being targeted by racist black thugs not with what color annie is or if a black man can play james bond !	2
891	whites are not bothering anybody . people like you feel empowered by the media to demonize them . white p	1
5993	hitler is most popular ! !	0
19506	london has fallen, thanks to the quislings mass-importing feral inbred barbarians (the twitter-safe i	1
1765	update : more explosions heard in # molenbeek with reports of shots fired as police continue operation . - # parisattacks	0
15506	the white genocide continues : white race now a minority in three more uk towns and cities via # flegs	1
17913	i hate hur white aids bitchs head	2
19192	yeah..and sand niggers infesting western europe to the point of ruin!	2
8406	" judiciary hearing on  "" state of religious liberty "" "" live now w / : """	0
14755	y'all are probably white supremacists peopl	1
11038	white people have started asking politicians  what are you going to do for white americans ? that's healthy and positive .	1
6841	cuckservatives : trumps white nationalist fans discredit hiscandidacy	1
18593	and bring the white hoods and rope !	2
12712	that they would adopt a black then have white kids	1
13442	lol @ the community of charlottesville . this is a whole town full of nuts	0
5206	maybe you could help me with that mr . wallace sir .	0
7236	that's right i forgot  jews infest every white nation and cause trouble .	2
19830	and if some horny lesbian watches you pee you're in with it? not disgusting at all. duh	1
18782	italians aren't romans . whites are just pale neanderthal half-breeds	2
6614	" the second installment in the four part 7 inch series  "" moon and cups "" "" by rapoon has arrived . each record is ... """	0
18550	: latest news from the american # nazi party . # freedom # resistance # survival # truth	1
16055	he gives priority to syrian rapugees rather the unemployed  he favors race wars black vs white	2
20517	poland, japan, hungaryno muslims, no jihad!	1
19743	"if you don't speak up, they she will speak for you. marilyn deyoung, , latino """"babies can join a gang"	1
17444	who are ' whites ' ? i'm a gypsy traveller  and i'm white .	0
6164	more i learn  more i realize how similar jews & muslims are . both are clearly an alien parasite in white society .	2
17253	splc uses itunes to help gather donations to finish destroying the white race via	1
10450	black man ( who hates all white people ) murders white man for getting in his way on sidewalk .	2
1883	you tryna sound formal but we all know your just some racist school shooting teenager with daddy issues who wanks to hitler photos .	2
18993	this is where the problem . friends of bjp should remain with bjp  diff can always be sort out .	0
14230	how so ? people can see the same object and their perceptions vary . hence  ufo sightings	0
8443	" this is propaganda . you're  "" white "" "" . """	2
5431	thomas jefferson was the first president of the university of virginia  the author of the declaration o	0
9206	white people hating immigration  that's a real shocker	1
13841	you democrat trolls can call us deplorables coons  racists  and white supremacists but don't call us whiners and losers like you !	2
13272	go anonymous destroy there hate on the internet wipe them out clear there bank accounts and steal there hoods show there identity	0
7208	so sad . they have no choice but to deport all non-white residents . are they racist ? no . survivalists	1
4087	he fears the white supremists taking his manhood	1
2168	cernovich the jew who says white identity is bad ?	2
9738	it is observation and experience . black people lack the capacity to sustain a modern white civilization .	2
19267	alejandro: you will not survive here. you are not a wolf, and this is a land of wolves now	1
761	the world can't coexist with people who want to kill you ! # rt # stopislam # stopjihad # nosharia # nopc	2
19126	every religion is better than # islam, and so are atheists. 3 reasons via	2
21031	It doesn't matter suicide rates are going up in Black communities, The race was killing itself anyway.	1
13496	no such thing as british muslim its just plain old murdering muslim thanks .	2
18188	sure  if we could unite it would be better but is it possible ? look at boston and the ne - they hate us with a purple passion	0
3766	" 71 - year-old austrian doctor sentenced for  "" holocaust denial "" "" | read more : """	0
15366	palestinian textbook : how to stab a jew	2
4345	please move far away to a small  racist  white island and leave the melting pot alone	1
15842	: on these documents which have not been denied and in which over 5 years continuously he types himself as british citizen !	0
1417	if congress wont stop funding baby murders  we must stop funding congress pp on a cash course with congress :	2
12461	isn't black and being a cop hater and fkkn race hustler that he is  will only promote cop on black or white on black grievances .	2
1716	the white entitlement of bernie bros via	0
16171	jew is someone who punches you and cries out in pain . dirty vermin .	2
7475	" how do you reconcile your view with the koran commanding  "" kill the infidel "" "" ? """	1
6103	it's funny how many triggered liberals there are in the comments . anti-white buffoons .	1
8740	hi guys  just scrolling through your page and it really draws the followers in . i already have my own ghost costume . # bornready	0
17080	kill her shes black	2
10993	we live in a fallen age  when even once-hallowed christian traditions like transparently shilling for the aipac lobby are met with derision .	0
11647	list of killings in the name of islam : last 30 days ;	1
13868	"  "" migration "" "" .. more like a bowel movement of arab rapists to the western world  who will then claim op """	2
9345	" rt interior sec'y salazar pushing for  "" hispanic "" "" national parks . next : asian n . p .  islamic n . p .  etc ... """	1
13414	jewish supremacists demand more cash for racist ' israel ' . : well  this is not exactly related to our topic here ...	2
9731	islam is full of child molesting faggots . # mohamedsucksdick	2
17850	good lord  if you're going to wear a suit  at least make sure it fits .	0
5738	( ( ( msm ) ) ): whites are evil racist planet killers and need to stop breeding also white countries must have non-white immigration to survive	2
16189	lessonnotlearned not hate # wakeupamerica	0
3913	a key clue to the cred of any rightist group is whether they go after cucks like ryan  mccain  graham . if not  a total waste .	2
9986	the anp needs to take a stronger / different stand with faggots and lesbians . many ns people do not respect your stance .	2
19472	saudi arabia is a disgusting, inhuman regime. truly evil. lower than vermin. still, business is business. kerching!	2
14330	it was entirely race based . it demonstrated that if you advocate for white	0
10799	racist bubble ? you mean one where we're constantly exposed to anti-white rhetoric ? give me a break .	1
4574	white community was a safe white community till moslems / islam came what a shame	2
14590	the florist is a homophobe and probably a racist .	0
872	white man gets 15 - years in prison for leaving bacon in mosque # swrm # white # bacon via	0
7686	brooks bayne  right . and the other ppl sure	0
19678	it's ok, it just comes with being genetically and culturally superior.	2
1607	pro-white  anti-white is the real issue . both dems and repubs will ne	0
17493	you know gene wilder's jewish  right ?	0
8914	nice to see proper vertical flag displays . identity evropa definitely knows what is and isn't american .	0
7337	we need some polls of nebraska  south dakota and montana . it is too early to write off those states	0
16069	hippos : keeping gas stations nigger-free since 1921 | more : via	2
12233	and you sound like a leftist shill who stabs people in the own ranks for no good reason at all .	1
9779	linda sarsour raises $ 80000 for questionable anti-muslim hate crime by white man	0
4171	if a white is near the scene of a black stealing  whitey pays for it . bill must be paid or jail !	2
545	its not a phobia if the islamic want to kill us ! better to kill them first ! period !	2
18626	breivik says zionism / anti-islam was a ruse to prolong the debate & attack # cuckservatives # vdare	2
19163	yeah, why not let a bunch of under developed savages turn up to dismantle everything that we've built. sure, why not.	1
896	why # hindumassmurder ? bcoz hindus worship leaders like gandhiji.congress imports 40000 # rohingyas & 2cr bangladeshis 2 destroy hindus .	1
14310	is it denial or acceptance > a likeness btw obama & hollande ... fix immigration stop radical islam control in us	1
14426	no auto citizenship ! extended visa for good ones ... deportation for the rest .	2
3725	you don't care about slavery . you just hate white people	2
12673	simply put  jews brought violent degenerates and islamic jihadists into europe . i stand for white countries and people	2
2994	: when whitey won't stand up for himself ... ' hundreds of young black people beating white people ' ...  ...	1
21227	what do you call a black woman who 's had <number> abortions ? a crime fighter	1
10312	# prolife cause should be outraged at cap on damages in deaths of woman & unborn child	0
19566	different ethnic tribes have different abilities. non-whites xcept asians suck at math	2
21210	Listen, you're sexist. @TommyJohn15 Listen, I'm not sexist, but every dumbass driver I've crossed lately has been a female.	1
7926	jews and nonwhites are openly showing us their hatred right now . when will you get it  white people ?	2
9204	white nationalists rallied in tennessee via	0
20156	some think these are refugees, wtfu # tcot # wakeupamerica	1
14449	obama praises black lives matter activists . i guess he forgot that whole pigs in a blanket fry em like bacon chant	1
19242	worthless invading savages attack police after seeing macedonians building border	2
18250	the white non-married women demographic also key  heavily propagandised by msm to hate trump and vote hillary	0
5738	( ( ( msm ) ) ): whites are evil racist planet killers and need to stop breeding also white countries must have non-white immigration to survive	2
9382	# refugeeswelcome # antiwhite # refugees # racist # racism # maga # altright # whitegenocide # sjw	0
5193	lnformed . read quran  mixed up authors  also history of family of & also muhammad . no peace  truth ls hypocritical	0
3288	if three psycho moozlims can cause a bloodbath like this  what will happen if they launch another attack on america ? god protect the usa !	2
9369	" whaddaya mean  "" we "" "" white man ? """	0
18183	stop anti-white racism you crackers	2
12080	" proliferating anti-white agenda  "" """	1
6940	how the uniparty lost the white middleclass	1
15915	as in you are leaving ? you're too white looking to be native . bye ugly and your fatty ! # smallhands	2
11074	would like to think so but people don't want the truth . they would have to alter their self indulging lives	0
13619	take a stand  join the klan . we are the superior race . we shall dominate politically  economically and socially . # whitepride # white	2
4797	7 / in a thousand years  european monarchs didn't assert the power of our federal judges to privilege aliens and redefine marriage	1
75	the uncultured and uncivilized men from cental india who invaded asia destroyed the great persian culture  destroyed remains of indus	2
9508	barbaric monsters . they can leave this country .	2
17127	muslims are - racist  murderers  rapist  stupid  delusional  pedophiles  evil !	2
1631	see ? there are some things black people & white people are in total agreement over .	0
14225	hispanic assimilation has failed rt # tcot # tlot # teaparty # ocra # ampat	1
15696	your right  but right now people are lumping each other into one group ... i'm not white but i'm a white supremacist . 1 /	0
4736	" rt the pro-amnesty groups behind  "" conservative "" "" # immigration event # noamnesty """	1
18674	eu official : hungarian pms crusade against soros is anti-semitic	0
13889	" don't confuse  "" us citizen "" "" with "" "" american "" "" . that's a lie of the left . there is an authentic american culture and people . """	1
16564	yes  the bigotry of low expectations - of agency denied . no wonder the # altright and # hoteps are forming an alliance .	0
19311	you laugh because you don't study- it's clear- as long as mendels law is in effect whites can never be the first humans.	1
3221	hey blanket wearing racist dm me	0
6406	we have seen what anglojews have done to sweden  don't try to tell us that you are white and one of us please .	2
16006	especially on a campus that has professors advocating against white makes and for white genocide	1
6908	he did not  he did not exist robert . right ?	0
9248	yes and hillary to cover her for losing the election	0
3201	good question . some people do  generally only those whose parents recently immigrated .	0
9208	white people like you is telling the latinos and african americans how much hate against our communities .	2
13186	by diversify you mean a plague  reminiscent of the nothing from the never ending story . nieberhoods one by one turning to ghetto slums full of black hoodlums and white homosexuals that teach white guilt and anti cis feminism .. filth	2
9413	90 % of all interracial crime is black on white . white people have paid a terrible price for trying to live with blacks .	2
13721	utah is the most cucked state in america via # latterdaysnakes # cuckservatives # mormons # trump2016	2
14658	u phukkine white moon phag it	2
15596	where they all committed suicide . so what's you take on the jew involvement ?	1
3944	and my neighborhood is diverse.white  black  italian  asian etc . we all agree . stfu commie hippies ! ! !	1
6788	because prior to that  almost everybody in white societies was white .	1
13549	please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands	1
1120	: are you ready to offer your white children to the black hangman ? via	1
334	britain sees race war brewing between non-white invaders | read more :	1
19293	where was the nfl at when that subhuman piece of trash rae carruth had his girlfriend murdered because he didn't want to pay child support?	2
20930	i want to see swedes raped to death collectively	2
1769	via : minnesota : three muslims convicted of conspiring to join the islamic state # tcot	1
17628	. is that why you're so matronly and worried about what people do with their privates ? nothing like venerating an old racist crone .	0
312	because i love the diversity & contribution of various cultures . id hate living in a white society	0
14465	our white culture is beautiful	0
3625	well  that was mighty white of the new york times  wasn't it ? ! jew owned leftist rag !	2
3953	answer ? ding ding - nothing ! no evidence . you're a liar  u slander people  and y	2
12473	its not a plight . its just time for them to go home .	1
20809	Except, perhaps, to # SmugLiberal awards ceremonies...or maybe out back to shoot 'em. # SmugHollywoodTypes # Hollywood # JimmyKimmel # Trump # Hannity # Homophobic # Twitter # Twatter # OutBackToShootEm	2
17983	it could be some jews telling them to . jew trying to get muslims to bomb goys !	2
4563	when everyone is celebrating diwali with family  ji is spending time with soldiers # iamwithmodi	0
3242	hunter wallace has a way with words :	0
5833	anti-racist activist raped by non-white illegal immigrant after anti-racism festival | read more : via	1
12183	: survey finds 70 percent support for deporting illegal immigrants # afire # tcot # teaparty ...	1
3370	maybe stuff like charities for poor whites  or victims of the opiod crisis	1
19470	if race was real (which its not), id rather have ur kinda stupid genes eliminated from our gene pool!	2
18785	jewish groups  pols say trump budget is bad for israel and other us interests | jewish telegraphic agency	0
9755	jew mark zuckerberg promotes jew world order dystopia at harvard commencement speech daily stormer	2
1300	douglas  sorry  not seeing any cspan link here :	0
5283	people will start thinking all of this trump phenomena is a comedy of errors  when it has been staged k	0
13750	well i'm a black jew  that's different . israel belongs to us  not the khazars	1
8957	our women the most beautiful . long live the white aryan race !	1
2220	every positive global development in the past 1000 + years has been introduced by whites . that is not accidental .	1
14509	russia racism resist repeat . russia racism resist repeat . life as a democrat has to be horrible with all that whining and all that losing !	0
2101	alt-right sophistry is amusingly childish .	0
7620	a white org for white ppl	0
20431	lord, let your enemies be scattered, let them be confounded and be put to shame	1
2525	remember ? the spineless antifa cuck who lied about confronting whn they were putting up posters ? he blocked me	0
18730	i remember a video or audio file in which he said something like the white race needs to be blended out of existence	1
10508	faggots rt : kkk alive and well white brother hood unite ku klux klan	2
3738	you only have white neighbors ?	0
261	aap alleges rs 22000- cr scam in maharashtras power sector	0
15076	cute ! announces new  baby minifigures with an ultrasound pic . # lego # prolife	0
6198	not quite . white ppl like u r poor representatives of the white race and what most of us believe	1
17099	lololol heather heyer looks like total white trash !	2
4011	christians & jews don't kill when one of their syangoges of churches are defiled . afghani's are a sick bunch .	2
11092	you guys need to use the civil rights laws and sue those companies . it's clearly racial discrimination .	0
6483	wrong whites / europeans have been around for millions of years you pos . you truly are stupid .	0
19637	animal savages will behave like savage animals!	2
7293	this is an inherently white thing to do . keep up the good work .	1
11944	white men who get with nonwhite women  are sexual failures .	2
8686	fact : 90 % of all interracial crime in usa is black on white # swrm # blackonwhite via	1
13614	ston poet - racist crackers	2
4530	vbschools has developed one of the strongest social media policies in nation k-12 ed wants this battle	0
11154	" no i'm just using psychology which i have a phd in . this is the psychology pathetic racist white  "" men "" "" like you have ... you are jealous that us melanated men have more testosterone and bigger dix and white women prefer us so you lash out . psych 101 . """	0
18120	proof  faggots .	2
13980	* blocks your path * thanks for 30000 followers ! now go forth and honor your ancestors by building a world fit for your descendants .	0
6550	" : black supremacist arrested for threatening to  "" kill all white people in the town "" "" """	1
18518	' holocaust ' debate / comments / news questions for revisionists : i preface this post by saying i do not agre ...	0
14815	" .  "" kill any jew who falls into your power "" "" - muhammad in ibn ishaq's sira """	2
12298	cuckservatives : cuck french whimpers on morning joy via	0
9621	good white history defeated bad white history . you're celebrating losers .	0
20674	no more # daca! no # amnesty! let the # illegalalien # dreamers dream in their home countries! my dream is that all # foreign # nationals will be sent home (aka: # deported)! stop oppressing the # american # taxpayer!	2
6726	after dallas  cucks rebel against the drudge report via	2
21443	I wonder if the jigaboos dancing on the football fields have finally realized when they stopped being a distraction , they took money out of their own pockets . 	2
16962	he's an identitatarian and a white nationalist  not a white supremacist . what's wrong with fascism ?	1
14827	" coming soon america rt :  "" by the quran  we will kill you all  faggots ! "" "" : muslims attack gay club in paris """	2
15857	a better question : since you say muslims hate jews  why are jews behind every movement to flood muslims into white nations ? ?	2
19243	have to hire illegals in california to compete with the guy running a crew of all illegals ,its a race to the bottom in wages craftsmanship	1
13582	rt if u agree : a staggering 92 % of pre-born children diagnosed w / down syndrome are aborted . this is unacceptable .	0
8824	it looks better than the domestic terrorist group .. antifa all black and hiding ugly  repulsive faces .	2
7175	really ? yur just a white supremacist racist pig who us all look like slime .	2
4649	you know your logic is not correct . they are proclaimed offenders . pl . don't compare our politicians with criminals	0
2885	" out of the mouths of babes  robert . he hasn't learned the true power of misunderstanding while  "" desperately seeking islam "" "" ! ! """	0
7022	is though . his family practices which teaches kill the christian & jew .	0
3004	a reminder of what black people think about you  white man	1
9434	: jew run google soliciting donations to support non-white invasion of europe )	2
17252	southerners are considered ' bad whites ' msm only cared about hurricane katrina bc ... you know	1
18266	they were good allies of hitler and still revere him today so that's a good thing :)	1
6576	" no they've been wildly misinterpreted . the phrase  "" all people are created equal "" "" was in reference to the abolition of nobility . """	0
16452	truth is hate to those who hate truth & dhimminitude knows no bounds . # islamistheproblem # banislam	2
19548	those guys are not human beings, they're meat-robots with low iq. unbelievable that they even exist :s	1
15658	xtian left is digging its own grave by appeasing islam  nobel peace prize was awarded to an indian for denouncing hinduism .	1
1747	this sounds like a kid caught in a lie . also do left-wing activists use the word cuck alot ?	1
4525	um  black people don't elect to needlessly pursue risky behavior that can result in death ?	1
19408	financial cost biggest threat with immigration adding to loss green space overpopulationlower quality of life	1
6741	alt right equals a bunch of troll . look at these anime loving homos .	0
16649	" no one in america thought irish were white when they came here on the coattails of the jews and dagos ; def nt  "" aryan "" "" """	2
16338	stockholm : asylum-helper killed by asylum seeker # swrm # scum # sweden via	0
10994	we must keep the white race  i am ashamed to be british  i find asians disgusting & repulsive & blackie's  they are a disease !	2
17037	if muslims would stop doing evil in name of islam and jihad  no one would respond with evil to them .	2
13839	you are a phony orange sellout vendepatria zionist cuck . your base hates you now .	2
12339	for sure not true mid tennesseans	0
7183	retweeted political islam ( ): # us # mb agenda is star spangled shariah  cloaked in red  white & ...	0
7529	# germany : non-white in one generation > wake up # aus # auspol via	0
1903	"  "" become who we are "" "" : really lame white guys who want to feel special . """	1
1421	if stalin a georgian jew  & adolf a jewish diaspora agent  antisemitismantijewish in unbotched dictionaries  jews safer ?	1
1141	: spencer versus the leftist / islamic alliance  stuttgart  germany  june 2 : here is video of my talk before v ...  ...	0
18501	" uk : muslim parents planned  "" trojan horse "" "" strategy to oust non-muslim headteachers and turn schools into muslim """	1
4904	becuz white pepo is evil	2
19345	"how has that """"religion"""" not killed itself out yet? barbarians."	2
4168	idiotic jews and white liberals through the muslims and blacks wouldn't turn on them # timeiscoming	2
1186	amren said civic nationalist  not white nationalist you goober	2
17609	# flint # bonestown will show white perspective on current / leftist agendas	1
5131	is that a picture of u . trump proved this week that he supports racist . people that hate u . are u mentally competent . wow ! ! !	0
14882	# 14words # wakeup	0
19470	if race was real (which its not), id rather have ur kinda stupid genes eliminated from our gene pool!	2
10563	how a spanish holocaust victim was exposed as an impostor # swrm via	0
17101	look at this cuck far right watch you can watch as we step on you cuck antifa commie faggots .	2
3293	imagine going back a millenia to find a civilization your ancestors created  only to find out they were white	1
20677	put him under the jail	1
15187	i don't support roosh since i know what a disgusting pos he is  he is a self-serving populist	0
18207	that's not what's the greatest danger to white culture . what is the greatest danger to white culture is your sinful conceit and # idolatry .	0
15123	fair is a racist hate group . keep sanctuary cities sanctuary-ing ! thank you  senator .	0
5061	i asked a simple question . black conservative church going families do not hate whites or they are attending the wrong church . you just spew division and hate ! feel sorry for you ! clueless !	1
10451	blacks & latinos attack & kill white people daily  but  when blacks or latinos attack & kill cops it's a big deal ? # secede # tcot	1
15436	some whites are very smart but most are stupid poor white trash like you .	2
4050	except all the jews who are white . that is how stupid ypu are . trump is jewish . duh ..	2
21153	Why do sumo wrestlers shave their legs? So that people don't confuse them for feminists.	1
19629	you go back to your sand barbarians	1
19217	so sick of this shit, wtf is 'native american', you know how many people lived here, place was friggin empty	1
15124	faith and freedom endure even in the face of some terrible storms alliance defending freedom blog	0
7938	kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of	1
43	german govt . forbade police to name north	0
20466	no, no, no, no, no! we want them out of america now!!!!!	1
9738	it is observation and experience . black people lack the capacity to sustain a modern white civilization .	2
11616	it's over : top cuck donald trump strikes deal on daca amnesty  no border wall funding via	2
2268	he's the definition of white trash .	2
20039	hear it. but when i talked about niggers they stomped the floor ! same when trump talks wall instead of taxes.	2
